Point,CPD (mV),WFRA (mV),WFDel (mV),Std WF,GD (au),Std GD,Z Height (um),User,Time(Secs),,
649,-39.2,-39.3,-0.4,2.5,286.5,0.2,0.00,1.3,274.903,,
650,-39.4,-38.7,-0.6,2.5,286.4,0.2,0.00,-0.5,275.324,,
651,-41.6,-40.1,-2.7,2.5,286.4,0.2,0.00,-0.5,275.761,,
652,-39.0,-40.0,-0.2,2.5,286.6,0.2,0.00,1.3,276.198,,
653,-39.6,-40.1,-0.7,2.5,286.6,0.2,0.00,1.4,276.634,,
654,-41.2,-39.9,-2.3,2.5,286.5,0.2,0.00,0.2,277.056,,
655,-33.4,-38.0,5.5,2.5,286.5,0.2,0.00,-0.2,277.492,,
656,-37.3,-37.3,1.5,2.5,286.3,0.2,0.00,-0.5,277.929,,
657,-40.3,-37.0,-1.4,2.5,286.5,0.2,0.00,1.4,278.366,,
658,-33.7,-37.1,5.1,2.5,286.4,0.2,0.00,1.4,278.803,,
659,-38.4,-37.5,0.5,2.5,286.5,0.2,0.00,1.3,279.240,,
660,-40.3,-37.5,-1.5,2.5,286.4,0.2,0.00,0.0,279.661,,
661,-41.0,-39.9,-2.2,2.5,286.5,0.2,0.00,-0.6,280.098,,
662,-38.9,-40.1,0.0,2.5,286.3,0.2,0.00,1.3,280.534,,
663,-34.8,-38.2,4.0,2.5,286.3,0.2,0.00,1.4,280.971,,
664,-37.8,-37.2,1.0,2.5,286.2,0.2,0.00,1.4,281.408,,
665,-40.3,-37.7,-1.5,2.5,286.3,0.2,0.00,0.1,281.829,,
666,-34.8,-37.7,4.0,2.5,286.3,0.2,0.00,-0.3,282.266,,
667,-38.7,-38.0,0.1,2.5,286.4,0.2,0.00,1.4,282.703,,
668,-36.1,-36.5,2.8,2.5,286.4,0.2,0.00,1.3,283.140,,
669,-37.3,-37.4,1.6,2.5,286.4,0.2,0.00,1.3,283.576,,
670,-41.6,-38.3,-2.7,2.5,286.4,0.2,0.00,1.3,284.013,,
671,-39.1,-39.3,-0.2,2.5,286.4,0.2,0.00,0.1,284.434,,
672,-38.7,-39.8,0.1,2.5,286.4,0.2,0.00,1.4,284.871,,
673,-42.6,-40.1,-3.8,2.5,286.4,0.2,0.00,1.4,285.308,,
674,-33.9,-38.4,4.9,2.5,286.2,0.2,0.00,1.4,285.745,,
675,-37.8,-38.1,1.0,2.5,286.5,0.2,0.00,1.4,286.182,,
676,-36.9,-36.2,1.9,2.5,286.5,0.2,0.00,0.2,286.603,,
677,-37.3,-37.3,1.6,2.5,286.5,0.2,0.00,0.0,287.040,,
678,-37.8,-37.4,1.0,2.5,286.3,0.2,0.00,1.4,287.476,,
679,-37.5,-37.5,1.4,2.5,286.3,0.2,0.00,1.4,287.913,,
680,-39.8,-38.4,-0.9,2.5,286.5,0.2,0.00,1.3,288.350,,
681,-35.4,-37.5,3.5,2.5,286.3,0.2,0.00,0.5,288.771,,
682,-33.4,-36.2,5.5,2.5,286.5,0.2,0.00,0.2,289.208,,
683,-37.3,-35.4,1.6,2.5,286.3,0.2,0.00,1.4,289.645,,
684,-44.2,-38.3,-5.3,2.5,286.6,0.2,0.00,1.4,290.097,,
685,-40.9,-40.8,-2.0,2.5,286.3,0.2,0.00,1.4,290.518,,
686,-40.3,-41.8,-1.4,2.5,286.5,0.2,0.00,0.3,290.940,,
687,-39.1,-40.1,-0.2,2.5,286.4,0.2,0.00,0.3,291.376,,
688,-37.5,-38.9,1.4,2.5,286.5,0.2,0.00,-0.4,291.813,,
689,-39.6,-38.7,-0.7,2.5,286.6,0.2,0.00,1.4,292.250,,
690,-39.4,-38.8,-0.6,2.5,286.3,0.2,0.00,1.3,292.687,,
691,-41.7,-40.2,-2.9,2.5,286.5,0.2,0.00,1.4,293.124,,
692,-40.9,-40.7,-2.0,2.5,286.3,0.2,0.00,0.1,293.545,,
693,-39.4,-40.7,-0.6,2.5,286.4,0.2,0.00,-0.2,293.982,,
694,-42.1,-40.8,-3.2,2.5,286.5,0.2,0.00,-0.3,294.418,,
695,-43.9,-41.8,-5.0,2.5,286.3,0.2,0.00,1.4,294.855,,
696,-38.4,-41.4,0.5,2.5,286.4,0.2,0.00,1.3,295.292,,
697,-40.5,-40.9,-1.6,2.5,286.4,0.2,0.00,0.5,295.713,,
698,-37.3,-38.7,1.5,2.5,286.2,0.2,0.00,0.1,296.150,,
699,-41.2,-39.7,-2.4,2.5,286.3,0.2,0.00,-0.5,296.587,,
700,-38.2,-38.9,0.7,2.5,286.4,0.2,0.00,1.4,297.024,,
701,-39.1,-39.5,-0.2,2.5,286.3,0.2,0.00,0.6,297.445,,
702,-38.9,-38.7,0.0,2.5,286.4,0.2,0.00,0.4,297.882,,
703,-39.6,-39.2,-0.8,2.5,286.3,0.2,0.00,0.4,298.318,,
704,-38.7,-39.1,0.1,2.5,286.3,0.2,0.00,0.2,298.755,,
705,-39.4,-39.3,-0.6,2.5,286.2,0.2,0.00,1.4,299.192,,
706,-37.2,-38.4,1.7,2.5,286.1,0.2,0.00,1.3,299.629,,
707,-33.6,-36.7,5.3,2.5,286.2,0.2,0.00,1.4,300.066,,
708,-36.6,-35.8,2.2,2.5,286.1,0.2,0.00,1.4,300.502,,
709,-37.0,-35.7,1.9,2.5,285.9,0.2,0.00,-0.1,300.924,,
710,-41.4,-38.4,-2.6,2.5,285.9,0.2,0.00,-0.4,301.360,,
711,-40.7,-39.7,-1.9,2.5,286.0,0.2,0.00,1.3,301.797,,
712,-44.3,-42.1,-5.4,2.5,286.1,0.2,0.00,1.4,302.234,,
713,-40.0,-41.7,-1.1,2.5,286.1,0.2,0.00,0.3,302.655,,
714,-42.7,-42.3,-3.8,2.5,286.1,0.2,0.00,0.4,303.092,,
715,-39.5,-40.7,-0.6,2.5,286.0,0.2,0.00,-0.1,303.529,,
716,-41.4,-41.2,-2.5,2.5,286.3,0.2,0.00,-0.5,303.966,,
717,-41.3,-40.7,-2.4,2.5,286.0,0.2,0.00,1.4,304.402,,
718,-35.6,-39.4,3.3,2.5,286.1,0.2,0.00,0.6,304.824,,
719,-41.6,-39.5,-2.7,2.5,286.1,0.2,0.00,0.3,305.260,,
720,-35.9,-37.7,3.0,2.5,286.2,0.2,0.00,0.2,305.697,,
721,-38.8,-38.8,0.1,2.5,286.1,0.2,0.00,-0.4,306.134,,
722,-41.6,-38.8,-2.7,2.5,286.1,0.2,0.00,1.4,306.571,,
723,-39.8,-40.1,-1.0,2.5,286.1,0.2,0.00,0.7,306.992,,
724,-39.1,-40.2,-0.2,2.5,286.2,0.2,0.00,0.4,307.429,,
725,-38.2,-39.0,0.7,2.5,286.2,0.2,0.00,0.3,307.866,,
726,-36.4,-37.9,2.4,2.5,286.2,0.2,0.00,-0.4,308.302,,
727,-37.3,-37.3,1.5,2.5,286.1,0.2,0.00,-0.4,308.739,,
728,-38.0,-37.3,0.8,2.5,286.3,0.2,0.00,0.8,309.160,,
729,-42.7,-39.3,-3.8,2.5,286.2,0.2,0.00,0.6,309.597,,
730,-38.9,-39.9,-0.1,2.5,286.1,0.2,0.00,0.2,310.034,,
731,-39.7,-40.4,-0.8,2.5,286.0,0.2,0.00,0.2,310.471,,
732,-43.0,-40.5,-4.2,2.5,286.1,0.2,0.00,-0.6,310.908,,
733,-45.0,-42.6,-6.1,2.5,286.1,0.2,0.00,1.4,311.344,,
734,-35.5,-41.2,3.3,2.5,286.2,0.2,0.00,0.8,311.766,,
735,-40.2,-40.2,-1.3,2.5,286.2,0.2,0.00,0.4,312.202,,
736,-37.8,-37.9,1.0,2.5,286.3,0.2,0.00,0.3,312.639,,
737,-45.0,-41.0,-6.1,2.5,286.2,0.2,0.00,-0.1,313.076,,
738,-41.6,-41.5,-2.8,2.5,285.8,0.2,0.00,1.4,313.513,,
739,-30.6,-39.1,8.3,2.5,286.2,0.2,0.00,0.8,313.934,,
740,-44.6,-38.9,-5.8,2.5,286.1,0.2,0.00,0.6,314.371,,
741,-38.4,-37.9,0.5,2.5,286.1,0.2,0.00,0.2,314.808,,
742,-39.3,-40.8,-0.4,2.5,286.3,0.2,0.00,-0.1,315.244,,
743,-38.4,-38.7,0.5,2.5,286.1,0.2,0.00,1.4,315.681,,
744,-40.2,-39.3,-1.3,2.5,286.2,0.2,0.00,1.4,316.118,,
745,-38.2,-38.9,0.6,2.5,286.1,0.2,0.00,0.7,316.539,,
746,-41.2,-39.9,-2.4,2.5,286.2,0.2,0.00,0.3,316.976,,
747,-39.1,-39.5,-0.2,2.5,286.2,0.2,0.00,0.1,317.413,,
748,-43.2,-41.2,-4.3,2.5,286.1,0.2,0.00,-0.1,317.850,,
749,-36.9,-39.8,1.9,2.5,286.3,0.2,0.00,0.9,318.271,,
750,-42.5,-40.9,-3.6,2.5,286.1,0.2,0.00,0.6,318.708,,
751,-34.3,-37.9,4.6,2.5,286.3,0.2,0.00,0.6,319.144,,
752,-41.2,-39.3,-2.4,2.5,286.1,0.2,0.00,0.3,319.581,,
753,-43.0,-39.5,-4.1,2.5,286.3,0.2,0.00,0.2,320.018,,
754,-37.5,-40.6,1.4,2.5,286.2,0.2,0.00,1.4,320.455,,
755,-35.7,-38.7,3.1,2.5,286.1,0.2,0.00,1.4,320.892,,
756,-41.6,-38.3,-2.7,2.5,286.2,0.2,0.00,0.6,321.313,,
757,-37.9,-38.4,1.0,2.5,286.2,0.2,0.00,0.8,321.750,,
758,-42.3,-40.6,-3.5,2.5,286.0,0.2,0.00,0.0,322.186,,
759,-38.9,-39.7,0.0,2.5,286.3,0.2,0.00,-0.3,322.623,,
760,-34.1,-38.4,4.8,2.5,286.3,0.2,0.00,1.4,323.060,,
761,-39.8,-37.6,-0.9,2.5,286.3,0.2,0.00,0.7,323.481,,
762,-42.8,-38.9,-4.0,2.5,286.1,0.2,0.00,0.7,323.918,,
763,-37.8,-40.2,1.0,2.6,286.3,0.2,0.00,0.3,324.355,,
764,-39.5,-40.1,-0.6,2.5,286.0,0.2,0.00,-0.1,324.792,,
765,-45.5,-40.9,-6.6,2.5,286.3,0.2,0.00,0.8,325.213,,
766,-40.3,-41.8,-1.5,2.6,286.2,0.2,0.00,0.7,325.650,,
767,-40.9,-42.2,-2.0,2.6,286.2,0.2,0.00,0.5,326.086,,
768,-38.4,-39.9,0.5,2.6,286.3,0.2,0.00,0.6,326.523,,
769,-40.0,-39.7,-1.1,2.6,286.3,0.2,0.00,0.1,326.960,,
770,-43.3,-40.6,-4.5,2.6,286.4,0.2,0.00,-0.1,327.397,,
771,-37.5,-40.3,1.4,2.6,286.4,0.2,0.00,0.9,327.818,,
772,-30.6,-37.1,8.3,2.6,286.3,0.2,0.00,0.7,328.255,,
773,-46.6,-38.2,-7.7,2.6,286.2,0.2,0.00,0.6,328.692,,
774,-37.5,-38.2,1.4,2.6,286.3,0.2,0.00,0.3,329.128,,
775,-42.5,-42.2,-3.6,2.6,286.3,0.2,0.00,-0.3,329.565,,
776,-39.8,-39.9,-0.9,2.6,286.2,0.2,0.00,0.9,329.986,,
777,-35.0,-39.1,3.8,2.6,286.1,0.2,0.00,0.8,330.423,,
778,-39.8,-38.2,-0.9,2.6,286.3,0.2,0.00,0.7,330.860,,
779,-39.1,-38.0,-0.2,2.6,286.3,0.2,0.00,0.5,331.297,,
780,-42.1,-40.3,-3.2,2.6,286.3,0.2,0.00,0.0,331.734,,
781,-42.3,-41.2,-3.4,2.6,286.3,0.2,0.00,-0.5,332.170,,
782,-38.7,-41.0,0.1,2.6,286.2,0.2,0.00,0.9,332.592,,
783,-41.6,-40.9,-2.7,2.6,286.2,0.2,0.00,0.8,333.028,,
784,-40.3,-40.2,-1.5,2.6,286.2,0.2,0.00,0.5,333.465,,
785,-38.6,-40.2,0.3,2.6,286.2,0.2,0.00,0.5,333.902,,
786,-40.0,-39.6,-1.1,2.6,286.4,0.2,0.00,-0.2,334.339,,
787,-36.8,-38.4,2.1,2.6,286.4,0.2,0.00,1.1,334.760,,
788,-38.4,-38.4,0.5,2.6,286.2,0.2,0.00,0.9,335.197,,
789,-39.1,-38.1,-0.2,2.6,286.1,0.2,0.00,0.6,335.634,,
790,-30.7,-36.1,8.1,2.6,286.3,0.2,0.00,0.4,336.070,,
791,-42.3,-37.4,-3.4,2.6,286.4,0.2,0.00,0.2,336.507,,
792,-38.9,-37.3,-0.1,2.6,286.2,0.2,0.00,-0.5,336.944,,
793,-44.4,-41.9,-5.6,2.6,286.2,0.2,0.00,1.0,337.365,,
794,-43.1,-42.2,-4.3,2.6,286.5,0.2,0.00,0.7,337.802,,
795,-42.4,-43.3,-3.5,2.6,286.7,0.2,0.00,0.4,338.239,,
796,-41.0,-42.2,-2.1,2.6,286.9,0.2,0.00,0.3,338.676,,
797,-37.8,-40.4,1.1,2.6,286.8,0.2,0.00,-0.2,339.112,,
798,-40.8,-39.8,-1.9,2.6,286.8,0.2,0.00,-0.4,339.549,,
799,-38.3,-39.0,0.5,2.6,286.7,0.2,0.00,0.8,339.970,,
800,-40.1,-39.7,-1.2,2.6,286.8,0.2,0.00,0.5,340.407,,
801,-40.6,-39.7,-1.7,2.6,286.9,0.2,0.00,0.2,340.844,,
802,-40.9,-40.5,-2.1,2.6,287.0,0.2,0.00,1.3,341.250,,
803,-36.0,-39.2,2.9,2.6,287.2,0.2,0.00,1.3,341.671,,
804,-42.9,-39.9,-4.0,2.6,287.1,0.2,0.00,1.4,342.092,,
805,-35.3,-38.0,3.6,2.6,286.9,0.2,0.00,-0.2,342.513,,
806,-38.6,-38.9,0.2,2.6,286.9,0.2,0.00,0.9,342.934,,
807,-38.3,-37.4,0.6,2.6,286.9,0.2,0.00,0.6,343.371,,
808,-43.3,-40.1,-4.4,2.6,286.8,0.2,0.00,0.7,343.808,,
809,-38.8,-40.1,0.0,2.6,286.9,0.2,0.00,1.3,344.214,,
810,-40.2,-40.8,-1.4,2.6,286.9,0.2,0.00,1.3,344.650,,
811,-39.4,-39.5,-0.5,2.6,286.9,0.2,0.00,1.3,345.072,,
812,-42.6,-40.7,-3.7,2.6,286.8,0.2,0.00,1.3,345.493,,
813,-39.2,-40.4,-0.3,2.6,286.8,0.2,0.00,1.3,345.914,,
814,-42.9,-41.6,-4.0,2.6,286.9,0.2,0.00,0.7,346.335,,
815,-39.7,-40.6,-0.9,2.6,286.9,0.2,0.00,0.7,346.772,,
816,-41.5,-41.4,-2.6,2.6,286.9,0.2,0.00,1.3,347.178,,
817,-39.6,-40.3,-0.7,2.6,286.8,0.2,0.00,1.3,347.614,,
818,-38.1,-39.7,0.7,2.6,286.8,0.2,0.00,1.3,348.036,,
819,-41.5,-39.7,-2.6,2.6,286.8,0.2,0.00,1.3,348.457,,
820,-41.7,-40.4,-2.8,2.6,286.9,0.2,0.00,-0.2,348.878,,
821,-40.6,-41.3,-1.7,2.6,286.9,0.2,0.00,0.9,349.299,,
822,-39.7,-40.7,-0.8,2.6,287.0,0.2,0.00,0.6,349.736,,
823,-39.2,-39.8,-0.3,2.6,286.9,0.2,0.00,0.5,350.173,,
824,-41.5,-40.1,-2.6,2.6,286.8,0.2,0.00,0.3,350.610,,
825,-41.1,-40.6,-2.2,2.6,287.0,0.2,0.00,-0.3,351.046,,
826,-38.1,-40.2,0.7,2.6,286.8,0.2,0.00,0.9,351.468,,
827,-36.2,-38.5,2.7,2.6,286.8,0.2,0.00,0.8,351.904,,
828,-37.1,-37.1,1.8,2.6,286.9,0.2,0.00,0.6,352.341,,
829,-37.6,-36.9,1.3,2.6,286.9,0.2,0.00,1.4,352.747,,
830,-37.1,-37.2,1.8,2.6,286.9,0.2,0.00,1.3,353.184,,
831,-39.7,-38.1,-0.9,2.6,286.7,0.2,0.00,1.2,353.620,,
832,-40.4,-39.1,-1.6,2.6,286.9,0.2,0.00,1.4,354.042,,
833,-39.4,-39.8,-0.5,2.6,286.8,0.2,0.00,1.3,354.463,,
834,-36.9,-38.9,2.0,2.6,286.8,0.2,0.00,1.4,354.884,,
835,-38.8,-38.4,0.0,2.6,287.0,0.2,0.00,0.6,355.305,,
836,-35.5,-37.1,3.4,2.6,286.8,0.2,0.00,1.4,355.711,,
837,-37.4,-37.2,1.4,2.6,286.7,0.2,0.00,1.3,356.148,,
838,-39.6,-37.5,-0.7,2.6,286.7,0.2,0.00,1.4,356.569,,
839,-37.8,-38.3,1.1,2.6,286.8,0.2,0.00,1.4,356.990,,
840,-36.9,-38.1,2.0,2.6,286.9,0.2,0.00,-0.4,357.411,,
841,-37.6,-37.4,1.3,2.6,286.8,0.2,0.00,0.9,357.832,,
842,-41.7,-38.7,-2.8,2.6,286.9,0.2,0.00,0.7,358.269,,
843,-42.2,-40.5,-3.3,2.6,286.9,0.2,0.00,0.5,358.706,,
844,-40.8,-41.5,-1.9,2.6,287.0,0.2,0.00,1.3,359.112,,
845,-43.4,-42.1,-4.6,2.6,287.0,0.2,0.00,1.3,359.533,,
846,-41.5,-41.9,-2.6,2.6,286.9,0.2,0.00,1.3,359.970,,
847,-35.8,-40.2,3.0,2.6,286.8,0.2,0.00,1.3,360.406,,
848,-38.8,-38.7,0.0,2.6,286.9,0.2,0.00,1.3,360.828,,
849,-39.4,-38.0,-0.5,2.6,286.9,0.2,0.00,1.4,361.249,,
850,-41.8,-40.0,-3.0,2.6,286.8,0.2,0.00,0.6,361.670,,
851,-39.4,-40.2,-0.5,2.6,286.7,0.2,0.00,0.4,362.107,,
852,-37.9,-39.7,0.9,2.6,286.9,0.2,0.00,0.0,362.544,,
853,-40.4,-39.3,-1.6,2.6,286.8,0.2,0.00,-0.4,362.980,,
854,-35.8,-38.1,3.0,2.6,286.8,0.2,0.00,-0.7,363.417,,
855,-37.2,-37.8,1.6,2.6,286.9,0.2,0.00,0.7,363.838,,
856,-41.1,-38.1,-2.3,2.6,286.8,0.2,0.00,0.5,364.275,,
857,-36.2,-38.2,2.7,2.6,286.9,0.2,0.00,0.2,364.712,,
858,-34.7,-37.4,4.1,2.6,286.9,0.2,0.00,-0.2,365.149,,
859,-42.2,-37.7,-3.3,2.6,286.9,0.2,0.00,1.4,365.586,,
860,-36.9,-38.0,2.0,2.6,286.7,0.2,0.00,1.4,366.022,,
861,-41.8,-40.3,-3.0,2.6,286.9,0.2,0.00,1.4,366.459,,
862,-42.7,-40.5,-3.9,2.6,286.8,0.2,0.00,1.4,366.896,,
863,-41.5,-42.0,-2.6,2.6,286.8,0.2,0.00,1.4,367.333,,
864,-41.9,-42.0,-3.0,2.6,286.8,0.2,0.00,1.4,367.770,,
865,-37.9,-40.4,0.9,2.6,286.9,0.2,0.00,1.3,368.206,,
866,-41.5,-40.4,-2.6,2.6,286.9,0.2,0.00,1.3,368.643,,
867,-35.6,-38.4,3.2,2.6,286.8,0.2,0.00,1.4,369.080,,
868,-38.1,-38.4,0.8,2.6,286.9,0.2,0.00,1.4,369.517,,
869,-35.3,-36.3,3.6,2.6,286.8,0.2,0.00,1.3,369.938,,
870,-35.5,-36.3,3.4,2.6,286.8,0.2,0.00,1.3,370.375,,
871,-38.0,-36.2,0.9,2.6,286.8,0.2,0.00,1.3,370.812,,
872,-37.9,-37.1,0.9,2.6,286.8,0.2,0.00,1.4,371.248,,
873,-39.4,-38.4,-0.5,2.6,286.8,0.2,0.00,1.4,371.685,,
874,-34.2,-37.2,4.6,2.6,286.8,0.2,0.00,1.4,372.122,,
875,-40.8,-38.1,-1.9,2.6,286.8,0.2,0.00,1.4,372.559,,
876,-40.4,-38.5,-1.6,2.6,286.8,0.2,0.00,1.4,372.996,,
877,-39.4,-40.2,-0.5,2.6,286.9,0.2,0.00,1.3,373.432,,
878,-39.7,-39.8,-0.9,2.6,286.7,0.2,0.00,1.3,373.854,,
879,-40.8,-40.0,-1.9,2.6,286.9,0.2,0.00,1.4,374.290,,
880,-33.3,-37.9,5.5,2.6,286.9,0.2,0.00,1.3,374.712,,
881,-37.9,-37.3,0.9,2.6,286.9,0.2,0.00,1.3,375.148,,
882,-36.2,-35.8,2.7,2.6,286.9,0.2,0.00,1.4,375.570,,
883,-35.1,-36.4,3.8,2.6,287.0,0.2,0.00,1.3,376.006,,
884,-36.2,-35.8,2.7,2.6,286.8,0.2,0.00,1.4,376.443,,
885,-39.6,-36.9,-0.7,2.6,286.7,0.2,0.00,1.4,376.880,,
886,-41.7,-39.2,-2.9,2.6,286.4,0.2,0.00,1.4,377.317,,
887,-43.1,-41.5,-4.3,2.6,286.6,0.2,0.00,1.3,377.754,,
888,-41.7,-42.2,-2.8,2.6,286.7,0.2,0.00,1.4,378.190,,
889,-39.7,-41.5,-0.9,2.6,286.6,0.2,0.00,1.3,378.627,,
890,-42.3,-41.2,-3.4,2.6,286.3,0.2,0.00,1.3,379.048,,
891,-41.7,-41.2,-2.8,2.6,286.6,0.2,0.00,1.3,379.485,,
892,-42.6,-42.2,-3.7,2.6,286.5,0.2,0.00,1.3,379.922,,
893,-39.2,-41.2,-0.3,2.6,286.7,0.2,0.00,1.4,380.359,,
894,-39.0,-40.3,-0.2,2.6,286.7,0.2,0.00,1.3,380.796,,
895,-42.1,-40.1,-3.2,2.6,286.6,0.2,0.00,1.3,381.232,,
896,-41.3,-40.8,-2.5,2.6,286.6,0.2,0.00,1.4,381.669,,
897,-38.3,-40.6,0.5,2.6,286.5,0.2,0.00,1.4,382.106,,
898,-41.0,-40.2,-2.1,2.6,286.8,0.2,0.00,1.3,382.543,,
899,-41.5,-40.3,-2.7,2.6,286.5,0.2,0.00,1.3,382.980,,
900,-40.1,-40.9,-1.2,2.6,286.7,0.2,0.00,1.4,383.401,,
901,-42.2,-41.3,-3.4,2.6,286.6,0.2,0.00,1.3,383.822,,
902,-41.0,-41.1,-2.1,2.6,286.6,0.2,0.00,1.4,384.259,,
903,-40.1,-41.1,-1.2,2.6,286.7,0.2,0.00,1.4,384.696,,
904,-37.8,-39.6,1.1,2.6,286.7,0.2,0.00,1.4,385.132,,
905,-40.8,-39.6,-2.0,2.6,286.6,0.2,0.00,1.4,385.569,,
906,-39.2,-39.3,-0.4,2.6,286.5,0.2,0.00,1.3,385.990,,
907,-39.4,-39.8,-0.5,2.6,286.7,0.2,0.00,1.3,386.427,,
908,-34.2,-37.6,4.6,2.6,286.6,0.2,0.00,1.3,386.864,,
909,-35.7,-36.4,3.2,2.6,286.6,0.2,0.00,1.3,387.301,,
910,-36.0,-35.3,2.8,2.6,286.7,0.2,0.00,1.3,387.738,,
911,-40.5,-37.4,-1.6,2.6,286.6,0.2,0.00,1.4,388.174,,
912,-36.5,-37.7,2.3,2.6,286.7,0.2,0.00,1.4,388.611,,
913,-39.9,-39.0,-1.1,2.6,286.6,0.2,0.00,1.4,389.048,,
914,-40.6,-39.0,-1.8,2.6,286.6,0.2,0.00,1.3,389.485,,
915,-38.3,-39.6,0.5,2.6,286.6,0.2,0.00,1.3,389.922,,
916,-45.1,-41.4,-6.2,2.6,286.6,0.2,0.00,1.3,390.358,,
917,-42.3,-41.9,-3.4,2.6,286.5,0.2,0.00,1.3,390.780,,
918,-39.4,-42.3,-0.6,2.6,286.4,0.2,0.00,1.4,391.216,,
919,-38.2,-39.9,0.7,2.6,286.5,0.2,0.00,1.3,391.638,,
920,-39.2,-38.9,-0.4,2.6,286.6,0.2,0.00,1.3,392.074,,
921,-38.3,-38.6,0.5,2.6,286.6,0.2,0.00,1.3,392.511,,
922,-43.9,-40.5,-5.0,2.6,286.5,0.2,0.00,1.3,392.948,,
923,-39.6,-40.6,-0.7,2.6,286.6,0.2,0.00,1.3,393.385,,
924,-37.4,-40.3,1.4,2.6,286.6,0.2,0.00,1.3,393.822,,
925,-42.6,-39.9,-3.7,2.6,286.6,0.2,0.00,1.4,394.258,,
926,-40.6,-40.2,-1.8,2.6,286.6,0.2,0.00,1.3,394.695,,
927,-36.7,-40.0,2.1,2.6,286.5,0.2,0.00,1.2,395.132,,
928,-41.5,-39.6,-2.7,2.6,286.6,0.2,0.00,1.4,395.553,,
929,-39.6,-39.3,-0.7,2.6,286.5,0.2,0.00,1.4,395.990,,
930,-37.6,-39.6,1.2,2.6,286.6,0.2,0.00,1.3,396.427,,
931,-42.2,-39.8,-3.4,2.6,286.6,0.2,0.00,1.3,396.864,,
932,-36.7,-38.9,2.1,2.6,286.6,0.2,0.00,1.4,397.300,,
933,-39.2,-39.4,-0.3,2.6,286.7,0.2,0.00,1.3,397.722,,
934,-36.0,-37.3,2.8,2.6,286.5,0.2,0.00,1.4,398.158,,
935,-39.2,-38.1,-0.3,2.6,286.7,0.2,0.00,1.3,398.595,,
936,-43.5,-39.6,-4.6,2.6,286.4,0.2,0.00,1.4,399.032,,
937,-38.7,-40.5,0.2,2.6,286.5,0.2,0.00,1.3,399.469,,
938,-36.4,-39.5,2.5,2.6,286.5,0.2,0.00,1.3,399.890,,
939,-38.7,-37.9,0.2,2.6,286.4,0.2,0.00,1.3,400.327,,
940,-41.7,-38.9,-2.9,2.6,286.5,0.2,0.00,1.3,400.764,,
941,-41.2,-40.5,-2.3,2.6,286.7,0.2,0.00,1.3,401.200,,
942,-40.6,-41.2,-1.8,2.6,286.6,0.2,0.00,1.3,401.637,,
943,-40.7,-40.8,-1.8,2.6,286.5,0.2,0.00,1.3,402.074,,
944,-40.5,-40.6,-1.6,2.6,286.6,0.2,0.00,1.2,402.511,,
945,-39.8,-40.3,-0.9,2.6,286.5,0.2,0.00,1.4,402.932,,
946,-43.3,-41.2,-4.5,2.6,286.4,0.2,0.00,1.3,403.369,,
947,-41.9,-41.7,-3.0,2.6,286.5,0.2,0.00,1.3,403.806,,
948,-37.3,-40.8,1.6,2.6,286.4,0.2,0.00,1.3,404.242,,
949,-42.4,-40.5,-3.6,2.6,286.6,0.2,0.00,1.2,404.679,,
950,-35.2,-38.3,3.7,2.6,286.4,0.2,0.00,1.3,405.116,,
951,-43.7,-40.4,-4.8,2.6,286.4,0.2,0.00,1.4,405.537,,
952,-38.3,-39.1,0.5,2.6,286.5,0.2,0.00,1.3,405.974,,
953,-40.6,-40.9,-1.8,2.6,286.6,0.2,0.00,1.3,406.411,,
954,-41.7,-40.2,-2.9,2.6,286.5,0.2,0.00,1.3,406.848,,
955,-39.2,-40.5,-0.4,2.6,286.5,0.2,0.00,1.3,407.269,,
956,-37.3,-39.4,1.6,2.6,286.5,0.2,0.00,1.4,407.706,,
957,-40.8,-39.1,-2.0,2.6,286.5,0.2,0.00,1.3,408.142,,
958,-40.5,-39.5,-1.6,2.6,286.6,0.2,0.00,1.3,408.579,,
959,-38.3,-39.9,0.5,2.6,286.7,0.2,0.00,1.3,409.016,,
960,-36.4,-38.4,2.5,2.6,286.4,0.2,0.00,1.3,409.453,,
961,-38.0,-37.6,0.9,2.6,286.4,0.2,0.00,1.3,409.874,,
962,-38.9,-37.8,0.0,2.6,286.5,0.2,0.00,1.4,410.311,,
963,-40.3,-39.1,-1.4,2.6,286.5,0.2,0.00,1.3,410.748,,
964,-40.3,-39.8,-1.5,2.6,286.4,0.2,0.00,1.3,411.184,,
965,-41.9,-40.8,-3.0,2.6,286.4,0.2,0.00,1.3,411.621,,
966,-36.8,-39.7,2.1,2.6,286.4,0.2,0.00,1.4,412.042,,
967,-33.0,-37.2,5.9,2.6,286.6,0.2,0.00,1.3,412.479,,
968,-34.2,-34.7,4.6,2.6,286.6,0.2,0.00,1.3,412.916,,
969,-40.6,-36.0,-1.8,2.6,286.5,0.2,0.00,1.4,413.353,,
970,-39.2,-38.0,-0.4,2.6,286.5,0.2,0.00,1.3,413.790,,
971,-37.3,-39.1,1.6,2.6,286.5,0.2,0.00,1.3,414.211,,
972,-37.3,-37.9,1.5,2.6,286.2,0.2,0.00,1.4,414.648,,
973,-41.6,-38.7,-2.7,2.6,286.2,0.2,0.00,1.3,415.084,,
974,-40.5,-39.8,-1.6,2.6,286.3,0.2,0.00,1.3,415.506,,
